,KRW-BTC,KRW-ETH,KRW-XRP,KRW-ADA,KRW-TRX,KRW-ETC,KRW-BCH,KRW-XLM
2018-11-16 09:00:00,-0.01605716142321434,-0.03847564916749313,-0.018182319083190457,-0.04053664710784588,-0.0136676387286645,-0.04346024126723336,-0.2287317728130347,-0.018018505502677584
2018-11-17 09:00:00,-0.006245141296780332,-0.006225894845879765,0.03603993648319648,-0.010035926527786287,-0.009216655104923532,-0.012941357084395477,-0.019653570082775573,0.025135973271541268
2018-11-18 09:00:00,0.0071785576682241725,0.01463138314775847,0.034786116085416374,0.01714327698643814,-0.0046403795565024275,0.006491613236509153,0.002811359737545871,0.014084739881739416
2018-11-19 09:00:00,-0.1351543184706756,-0.16446132505245536,-0.058063800954761824,-0.1576980407660571,-0.16663134105086774,-0.16598513747426225,-0.26693674614238105,-0.09147140349715865
2018-11-20 09:00:00,-0.08174999076228673,-0.12535662268760817,-0.09295787617735574,-0.14616715497381838,-0.12260232209233202,-0.1170020906733118,-0.06103717253164476,-0.15734863586257486
2018-11-21 09:00:00,0.01856335001133047,0.0291754891339302,0.01968567507103014,0.03951595968627908,0.04255961441879608,0.02162246401316459,0.052938471907207685,0.04386668210558131
2018-11-22 09:00:00,-0.0603757904339588,-0.08463256469326019,-0.056126954233286064,-0.07467583133990718,-0.06771817405495106,-0.08694193013380591,-0.12755619684187458,-0.08040042543803771
2018-11-23 09:00:00,0.009621240784229101,-0.012596387685684718,-0.03141619623337899,0.0,0.006349227678659197,-0.005850413678174959,0.0002099296743303114,-0.03309994842634456
2018-11-24 09:00:00,-0.10973650140516789,-0.07834227629251167,-0.07968816060369921,-0.12027121807967456,-0.08586129060639269,-0.06672027915666057,-0.13557257721988236,-0.11179140598811621
2018-11-25 09:00:00,0.027230492329602285,0.018487604467365415,-0.006936443996657715,-0.02958122401757457,-0.02797385204240621,-0.020824654764718176,0.0204622890078916,-0.010810916104215806
2018-11-26 09:00:00,-0.054536713324623065,-0.06645936789833229,-0.04751487560751322,-0.04729013504145696,-0.05092009042725687,-0.09494428151996459,-0.012799416262321728,-0.09694194519223043
2018-11-27 09:00:00,0.002056908507176658,0.00716563575614515,0.002430134853292465,0.009638628837768337,0.014815085785140791,0.03751673938493383,-0.031994973405099714,-0.006006024060211779
2018-11-28 09:00:00,0.09156719352549203,0.09129940678131732,0.06575137756277982,0.12812109989627496,0.18721154208814594,0.08361414004113321,0.04550068751903247,0.08650924290928241
2018-11-29 09:00:00,0.008298802814694639,-0.03762893219349195,-0.02531780798428951,-0.0021119332031434013,0.08191712246788718,-0.002677377770716305,-0.0432863921131208,0.0272496424473756
2018-11-30 09:00:00,-0.05849620668160682,-0.03286501361967176,-0.04286370443178278,-0.07232066157962613,-0.08803334948532315,-0.06937593986934054,-0.03756074980205959,-0.0272496424473756
2018-12-01 09:00:00,0.033602127517216474,0.03361661079898326,0.019277705425903235,0.05741090721333908,0.04791335569589794,0.048607699065376764,-0.006399612267486532,0.03261158558876076
2018-12-02 09:00:00,-0.007654725873763368,-0.010194537979593576,-0.004784698123335929,0.012793351459909452,-0.017699577099401065,0.05416325968571556,-0.007733990599735563,-0.03261158558876076
2018-12-03 09:00:00,-0.0657202935063097,-0.06953517084948224,-0.05673531250086761,-0.08163295449687125,-0.07410797215372211,-0.12799053008320982,-0.0743867178001274,-0.0685983163427526
2018-12-04 09:00:00,0.015830271780343352,0.008910549033046777,0.010101095986503772,-0.027973852042405767,0.031548357734926036,-0.025872089825593747,-0.062106762298220985,-0.011904902506318038
2018-12-05 09:00:00,-0.044737360287994576,-0.06626043288459016,-0.038417016103792,-0.08379283542783167,-0.01880933195749579,-0.08847872868357953,-0.1313724331659678,-0.10071397560183115
2018-12-06 09:00:00,-0.07223267858961435,-0.12026348988044155,-0.0901018346971858,-0.11137686384397227,-0.09278173345096663,-0.12788343283502002,-0.19718107634149007,-0.12693070859317057
2018-12-07 09:00:00,-0.02476827749576138,0.027792876584193493,-0.02312241742085419,-0.029156584291455623,0.034133006369458485,0.08513226588235412,-0.007859399297892367,-0.015151805020602538
2018-12-08 09:00:00,0.0018080852142610127,-0.0316877208457349,0.008733679968753627,0.017595761890379702,0.006688988150796771,-0.016222835506885858,-0.06078036484075788,0.007604599385219402
2018-12-09 09:00:00,0.03499342847947062,0.028848154337657306,0.017241806434507012,0.022989518224698635,0.013245226750020489,0.031054824462218633,0.05994945494667192,0.037179003241754494
2018-12-10 09:00:00,-0.029845411962067914,-0.034719012687441264,-0.034786116085416374,-0.043548245245735195,-0.033447934067539986,-0.02175243179990538,-0.040285286260244746,-0.044783602626973895
2018-12-11 09:00:00,-0.018919833504631,-0.027257233061687813,0.0,-0.017964554975298697,0.013513719166722726,-0.04740223889458406,-0.056522273409584045,-0.031010236742559982
2018-12-12 09:00:00,0.01712104078011123,0.017395220192572225,0.0146415499929482,0.03269236168554235,0.0,0.05661889399950759,0.0004577706648944968,0.007843177461025697
2018-12-13 09:00:00,-0.043902437233708014,-0.034687889944203576,-0.02055872702103656,-0.04179712867846197,-0.013513719166722726,-0.0034462986435883636,-0.09851898384110847,-0.08134563945395179
2018-12-14 09:00:00,-0.021459468059068953,-0.028939252769577095,-0.03625774802262427,-0.024692612590371255,-0.02758795651882906,-0.03632502478330757,-0.08943856264724204,-0.07933674223652165
2018-12-15 09:00:00,-0.006335236723810311,-0.0024321906982649466,-0.015504186535965303,-0.009419221916491693,0.0,-0.03398385281559868,-0.046809359116554816,-0.027908788117076533
