,KRW-BTC,KRW-ETH,KRW-XRP,KRW-ADA,KRW-DOT,KRW-TRX,KRW-ATOM,KRW-LINK,KRW-ETC,KRW-BCH,KRW-XLM,KRW-VET,KRW-CRO
2021-01-03 09:00:00,0.0501764244218208,0.25984386901898304,0.04391923393483488,0.17720645612718489,0.11789164277025677,0.10702026707619083,0.09682418463554043,0.137674091299532,0.15057285847937507,0.20646152708815713,0.08759805931798592,0.29776619151840666,0.0
2021-01-04 09:00:00,-0.02911134395689885,0.06560440999335881,0.04953393512227677,0.09375496953751838,-0.05905114274732348,0.05233752510823031,0.04076147831702315,-0.0019311238701700262,0.07693615034447632,-0.039485758626696565,0.19301684591070245,-0.062088904056940564,0.09065436826813045
2021-01-05 09:00:00,0.04381476896814007,0.03876774132685412,-0.06132189087431872,0.12767771737306166,0.005514719858510375,-0.09502693380328076,0.013703784593662505,0.05087439222730161,0.020327155080730464,0.010924388391048367,0.1434553907105105,0.10464851847573664,-0.009377161812596846
2021-01-06 09:00:00,0.06771973664553244,0.0789218407525265,0.08701137698962924,0.23674920336998806,0.02712643723909025,0.05160477235300265,0.05910653094548124,0.15877647904243375,0.041797128678462414,0.06913488668281609,0.5629020215862415,0.08594242980072497,0.1380635027739201
2021-01-07 09:00:00,0.09217848302504095,0.03706166229658692,0.2876820724517817,-0.08750289825781987,-0.02529493489562107,0.03488725900044054,-0.03995021617794592,-0.05255901285165976,-0.03936107388058119,0.008709477065441007,-0.07068158565128524,-0.05129329438755059,0.034565653112281325
2021-01-08 09:00:00,0.054782880825804625,0.01855870538976845,0.016172859245600968,0.040467949552846605,-0.00919124117554837,0.011363758650315248,-0.029959444680560665,-0.023963253087030623,-0.01779733995936894,-0.001380534683317336,-0.02567901441769127,-0.01560094044247995,0.0710293016510617
2021-01-09 09:00:00,-0.03221954527717941,0.02617493700816631,-0.010752791776262427,0.06577713051471434,0.026425227809536267,0.08394642115400996,0.07596824553021264,0.12197302959160972,0.08824900090998078,0.2516652208564718,0.020029281875571847,0.03400636798519496,-0.0052882196215646715
2021-01-10 09:00:00,-0.05194049067989326,-0.015972561793855533,-0.03576722385863107,-0.0887007704166507,-0.050725488940289054,-0.031664914643969144,-0.021024850416718976,-0.07837992045969422,0.12955524424488374,0.04749600634285578,-0.0857245411409675,-0.06595796779179697,-0.06234933202837656
2021-01-11 09:00:00,-0.07932490557567817,-0.15205277695991626,-0.09083840041293101,-0.10375150485212625,-0.11890712984367369,-0.1255206688784436,-0.11769736420634125,-0.11005112501567993,-0.2018333897215303,-0.23551120012287186,-0.05715841383994835,-0.10969891725642444,-0.16265172280518758
2021-01-12 09:00:00,-0.038570453225872825,-0.03061885860533664,0.015220994010355149,0.050167258718019525,0.001597019237484787,-0.015314234973042407,-0.0023157092555976533,-0.05005678878462483,-0.02155919658338412,-0.048373584284215454,0.03531667192489962,-0.04824683353938575,-0.010681009420333787
2021-01-13 09:00:00,0.07014142836098713,0.0507889655544691,0.023881732003387057,0.05936460904960583,0.256619480510599,0.05113896149118746,0.06362040273245562,0.1119924679615778,0.04979778064919671,0.06708629321637005,0.06414412160573857,0.0942726559346676,0.05357257404964688
2021-01-14 09:00:00,0.032220584300585386,0.07202341850691596,-0.048347784157793505,-0.017442302663342346,0.2721296594442961,-0.035824726518145056,0.029298272802003922,0.10835884902166093,0.008259633977417025,0.0453048431912908,-0.020927520105956,-0.02807201877868648,0.06525391403800018
2021-01-15 09:00:00,-0.04261760746270227,-0.03132922768036295,-0.03144913268250349,-0.011799546931155369,-0.08365423707596165,0.009077218151117172,0.2146569374368923,0.16333202030382843,-0.007075501216201374,-0.04931140473374995,-0.04321660149978257,0.003552401604367983,-0.04385599252044514
2021-01-16 09:00:00,-0.021373502983884407,0.04645029764413877,-0.009630893060960766,0.14606380877133063,0.3114265575228359,0.008995562908577615,0.1358015411590614,-0.03425894982101596,0.019918643306519712,-0.006040102558385385,0.018750549345376122,0.05853650245257258,0.061576479841808585
2021-01-17 09:00:00,-0.013815496925143833,-0.0036670374792695526,-0.01298719552681149,0.07648609455868893,-0.0591279889603733,-0.00298953884836628,-0.06824910053410704,0.13481519732765435,-0.01814506909050273,-0.028113179766830143,0.0364782086024098,-0.003350086885281822,0.04353493879143944
2021-01-18 09:00:00,0.011867784870350562,0.008414170732219617,0.019418085857101808,-0.03874576657584239,-0.0432968057533234,0.0352977820810243,0.09757671562862669,-0.062016648416452824,0.0011806376814149644,0.04630542243839031,-0.0029895388483653917,0.12001767345780001,0.03632760493241616
2021-01-19 09:00:00,-0.010603913718060909,0.09481328538416278,0.037740327982846544,0.0,0.000552944443173331,-0.023392879574705816,-0.05444194357866827,-0.05728061393052819,0.02677691995363851,0.009330769293658392,-0.018127384592556695,-0.05192005717835979,0.041297557098119775
2021-01-20 09:00:00,-0.008447645969969386,0.009234894127311932,0.00921665510492442,0.024391453124159135,0.09536043232324332,-0.0029629651306568583,0.0020325210249225734,0.06059874223412898,0.011422168728017823,-0.013304762962940586,-0.00918842605440684,0.1776082723418564,-0.02414815502516543
2021-01-21 09:00:00,-0.12851797734673553,-0.19235199591151364,-0.08284990614837806,-0.1847341031993377,-0.1036868750997968,-0.08351063287316984,-0.20428692722532737,-0.1589933043030456,-0.09775496028119512,-0.16684020379399378,-0.1454705129959919,-0.19659618458654782,-0.1474427994237022
