,KRW-BTC,KRW-ETH,KRW-ADA,KRW-TRX,KRW-ETC
2018-11-16 09:00:00,-0.0160571614232143,-0.0384756491674931,-0.0405366471078458,-0.0136676387286645,-0.0434602412672333
2018-11-17 09:00:00,-0.0062451412967803,-0.0062258948458797,-0.0100359265277862,-0.0092166551049235,-0.0129413570843954
2018-11-18 09:00:00,0.0071785576682241,0.0146313831477584,0.0171432769864381,-0.0046403795565024,0.0064916132365091
2018-11-19 09:00:00,-0.1351543184706756,-0.1644613250524553,-0.1576980407660571,-0.1666313410508677,-0.1659851374742622
2018-11-20 09:00:00,-0.0817499907622867,-0.1253566226876081,-0.1461671549738183,-0.122602322092332,-0.1170020906733118
2018-11-21 09:00:00,0.0185633500113304,0.0291754891339302,0.039515959686279,0.042559614418796,0.0216224640131645
2018-11-22 09:00:00,-0.0603757904339588,-0.0846325646932601,-0.0746758313399071,-0.067718174054951,-0.0869419301338059
2018-11-23 09:00:00,0.0096212407842291,-0.0125963876856847,0.0,0.0063492276786591,-0.0058504136781749
2018-11-24 09:00:00,-0.1097365014051678,-0.0783422762925116,-0.1202712180796745,-0.0858612906063926,-0.0667202791566605
2018-11-25 09:00:00,0.0272304923296022,0.0184876044673654,-0.0295812240175745,-0.0279738520424062,-0.0208246547647181
2018-11-26 09:00:00,-0.054536713324623,-0.0664593678983322,-0.0472901350414569,-0.0509200904272568,-0.0949442815199645
2018-11-27 09:00:00,0.0020569085071766,0.0071656357561451,0.0096386288377683,0.0148150857851407,0.0375167393849338
2018-11-28 09:00:00,0.091567193525492,0.0912994067813173,0.1281210998962749,0.1872115420881459,0.0836141400411332
2018-11-29 09:00:00,0.0082988028146946,-0.0376289321934919,-0.0021119332031434,0.0819171224678871,-0.0026773777707163
2018-11-30 09:00:00,-0.0584962066816068,-0.0328650136196717,-0.0723206615796261,-0.0880333494853231,-0.0693759398693405
2018-12-01 09:00:00,0.0336021275172164,0.0336166107989832,0.057410907213339,0.0479133556958979,0.0486076990653767
2018-12-02 09:00:00,-0.0076547258737633,-0.0101945379795935,0.0127933514599094,-0.017699577099401,0.0541632596857155
2018-12-03 09:00:00,-0.0657202935063097,-0.0695351708494822,-0.0816329544968712,-0.0741079721537221,-0.1279905300832098
2018-12-04 09:00:00,0.0158302717803433,0.0089105490330467,-0.0279738520424057,0.031548357734926,-0.0258720898255937
2018-12-05 09:00:00,-0.0447373602879945,-0.0662604328845901,-0.0837928354278316,-0.0188093319574957,-0.0884787286835795
2018-12-06 09:00:00,-0.0722326785896143,-0.1202634898804415,-0.1113768638439722,-0.0927817334509666,-0.12788343283502
2018-12-07 09:00:00,-0.0247682774957613,0.0277928765841934,-0.0291565842914556,0.0341330063694584,0.0851322658823541
2018-12-08 09:00:00,0.001808085214261,-0.0316877208457349,0.0175957618903797,0.0066889881507967,-0.0162228355068858
2018-12-09 09:00:00,0.0349934284794706,0.0288481543376573,0.0229895182246986,0.0132452267500204,0.0310548244622186
2018-12-10 09:00:00,-0.0298454119620679,-0.0347190126874412,-0.0435482452457351,-0.0334479340675399,-0.0217524317999053
2018-12-11 09:00:00,-0.018919833504631,-0.0272572330616878,-0.0179645549752986,0.0135137191667227,-0.047402238894584
2018-12-12 09:00:00,0.0171210407801112,0.0173952201925722,0.0326923616855423,0.0,0.0566188939995075
2018-12-13 09:00:00,-0.043902437233708,-0.0346878899442035,-0.0417971286784619,-0.0135137191667227,-0.0034462986435883
2018-12-14 09:00:00,-0.0214594680590689,-0.028939252769577,-0.0246926125903712,-0.027587956518829,-0.0363250247833075
2018-12-15 09:00:00,-0.0063352367238103,-0.0024321906982649,-0.0094192219164916,0.0,-0.0339838528155986
2018-12-16 09:00:00,0.0049614214232462,0.0096934696433024,0.0310583970199731,0.0138891121606672,0.0073801072976227
2018-12-17 09:00:00,0.0756975012225638,0.0957199826758223,0.098917787435627,0.0795120629277335,0.0777777010426845
2018-12-18 09:00:00,0.041199185673987,0.0694691753778329,0.0617645942548459,0.0496996685522725,0.0529925301405089
2018-12-19 09:00:00,0.0087677132533112,-0.0116228398279947,-0.0104712998672953,0.0415490029128724,0.0451994960387054
2018-12-20 09:00:00,0.098743130669316,0.139527319920715,0.1328732813799735,0.1047789512331767,0.0818593820802
2018-12-21 09:00:00,-0.0493065540662591,-0.0501207322051282,0.0472528848505455,0.1548983434134894,-0.0395995727903191
2018-12-22 09:00:00,0.0297850823212399,0.0702530420506715,0.0281708769666959,0.0481493438975824,0.0272125635248858
2018-12-23 09:00:00,-0.0056160992271134,0.1084985535166804,0.0500104205746616,-0.0085837436913913,0.0468250331757662
2018-12-24 09:00:00,0.0222775976224305,0.071648672306166,0.0339693000582146,0.012848142477849,0.0508357331807562
2018-12-25 09:00:00,-0.0674361572541411,-0.0764746037681476,-0.0925634643242672,-0.0569081322718796,-0.0871694922559882
2018-12-26 09:00:00,0.0117152230222359,0.0164499939699549,-0.0086580627431147,0.0222726356091227,0.1536083804647283
2018-12-27 09:00:00,-0.0401622230877087,-0.1102064401859213,-0.1005412292218776,-0.0874119377800841,-0.1236996090721547
2018-12-28 09:00:00,0.0505898462499665,0.1492048831754413,0.1091992919649924,0.0961839238529216,0.0762104696430778
2018-12-29 09:00:00,-0.0323288871153586,-0.0095254456474886,-0.0130153681120703,-0.0400944572018779,-0.0250553063421481
2018-12-30 09:00:00,0.0214352807200661,0.0247731052052184,0.0489980859915761,0.0045351551653913,0.0267603365932309
2018-12-31 09:00:00,-0.0214352807200661,-0.0387314574559258,-0.0424692271091124,-0.0463045680416867,-0.0311443857017668
